,open_datetime,open_price,order_type,volume,sl,tp,close_datetime,close_price,profit,status,pnl
32,11/11/2022 6:30,1751.92,Buy,100,1758.68,1758.68,11/11/2022 6:30,1758.68,675.9999999999991,closed,32637.000000000036
33,11/11/2022 10:45,1765.36,Buy,100,1763.71,1763.71,11/11/2022 10:45,1763.71,-164.99999999998636,closed,32472.00000000005
34,11/11/2022 15:45,1765.62,Buy,100,1761.11,1761.11,11/11/2022 15:45,1761.11,-450.9999999999991,closed,32021.00000000005
35,11/15/2022 4:00,1770.28,Buy,100,1770.94,1770.94,11/15/2022 4:00,1770.94,66.00000000000819,closed,32087.00000000006
36,11/16/2022 20:30,1772.48,emaSell,100,1764.79,1764.79,11/16/2022 20:30,1764.79,769.0000000000055,closed,32856.000000000065
37,11/17/2022 12:00,1764.42,Sell,100,1761.14,1761.14,11/17/2022 12:00,1761.14,327.99999999999727,closed,33184.00000000006
38,11/21/2022 3:00,1748.72,Sell,100,1742.42,1742.42,11/21/2022 3:00,1742.42,629.9999999999955,closed,33814.00000000006
39,11/21/2022 17:00,1736.78,Sell,100,1736.6,1736.6,11/21/2022 17:00,1736.6,18.000000000006366,closed,33832.000000000065
40,11/22/2022 7:30,1741.95,Sell,100,1743.4,1743.4,11/22/2022 7:30,1743.4,-145.00000000000455,closed,33687.00000000006
41,11/22/2022 11:30,1747.46,emaBuy,100,1745.64,1745.64,11/22/2022 11:30,1745.64,-181.99999999999363,closed,33505.00000000007
42,11/22/2022 12:15,1747.21,emaBuy,100,1745.64,1745.64,11/22/2022 12:15,1745.64,-156.99999999999363,closed,33348.00000000007
43,11/22/2022 13:15,1748.3,emaBuy,100,1745.64,1745.64,11/22/2022 13:15,1745.64,-265.99999999998545,closed,33082.00000000009
44,11/22/2022 15:30,1744.32,Sell,100,1739.42,1739.42,11/22/2022 15:30,1739.42,489.99999999998636,closed,33572.00000000007
45,11/22/2022 16:45,1742.9,Sell,100,1739.42,1739.42,11/22/2022 16:45,1739.42,348.0000000000018,closed,33920.00000000008
46,11/23/2022 9:30,1743.7,emaBuy,100,1742.22,1742.22,11/23/2022 9:30,1742.22,-148.00000000000182,closed,33772.00000000008
47,11/23/2022 10:45,1739.44,Sell,100,1738.46,1738.46,11/23/2022 10:45,1738.46,98.00000000000182,closed,33870.00000000008
48,11/23/2022 12:00,1736.05,Sell,100,1738.46,1738.46,11/23/2022 12:00,1738.46,-241.00000000000819,closed,33629.00000000007
49,11/23/2022 16:45,1742.74,Buy,100,1754.53,1754.53,11/23/2022 16:45,1754.53,1178.9999999999964,closed,34808.00000000007
50,11/23/2022 17:30,1742.36,emaBuy,100,1754.53,1754.53,11/23/2022 17:30,1754.53,1217.0000000000073,closed,36025.00000000007
51,11/24/2022 8:45,1755.36,Buy,100,1755.7,1755.7,11/24/2022 8:45,1755.7,34.00000000001455,closed,36059.00000000009
52,11/24/2022 11:00,1757.76,Buy,100,1755.69,1755.69,11/24/2022 11:00,1755.69,-206.99999999999363,closed,35852.0000000001
53,11/25/2022 9:45,1751.6,emaSell,100,1750.47,1750.47,11/25/2022 9:45,1750.47,112.99999999998818,closed,35965.00000000009
